B_Index,N_Index,Cl_Index,conf_idxs_ts,TS_G,deltaG(kcal/mol),deltaGa(kcal/mol),B_Cl,C_Cl,G_energy_qharm,TS_G_qharm,deltaG_react_qharm,deltaG_qharm(kcal/mol),deltaGa_qharm(kcal/mol)
393,302,486,10,-1321.379295,39.469248,60.09694255,2.069180781,2.380386988,-1321.609031,-1321.52471,38.95756901,38.95756901,52.91220249
393,304,486,10,-1215.532612,19.277804,44.74757093,2.191224706,2.276809597,-1215.716404,-1215.650908,20.22561204,20.22561204,41.09899183
393,306,479,1,-2043.397889,40.80538375,52.5396463,2.063854901,2.297290116,-2043.655423,-2043.579626,40.43277549,40.43277549,47.56357693
393,306,483,10,-1867.791725,47.70901325,59.7088338,2.065018696,2.247975318,-1868.001331,-1867.913911,47.07122675,47.07122675,54.85656621
393,307,486,0,-1290.524332,25.72630775,52.87298057,2.132568431,2.262615019,-1290.745167,-1290.670211,25.76999603,25.76999603,47.03546363
393,352,486,1,-1251.453745,23.620857,61.58743702,2.273946966,2.244613264,-1251.652571,-1251.560491,25.33689684,25.33689684,57.78116406
393,377,483,10,-1856.831397,46.74015325,58.81624643,2.122404912,2.241119919,-1857.032339,-1856.943745,45.8866866,45.8866866,55.59339943
393,377,485,10,-1878.831843,40.60245025,55.21582712,2.048805235,2.363575425,-1879.047085,-1878.964924,39.56605957,39.56605957,51.55629703
394,333,488,0,-2039.040873,13.65308225,21.38575848,2.164068587,2.071783515,-2039.257139,-2039.227409,16.70934938,16.70934938,18.65618265
395,120,492,0,-2577.188165,14.55549,16.11042245,2.733953811,1.938200748,-2577.460782,-2577.434312,-1.919332635,-1.919332635,16.61023393
395,200,487,1,-1233.683609,13.38200225,37.90843588,2.530893562,2.387848931,-1233.87262,-1233.815197,15.12682766,15.12682766,36.03350026
395,256,487,0,-1178.33008,17.76797625,46.84047168,2.4009732,2.391874413,-1178.527921,-1178.460808,17.55514578,17.55514578,42.11410425
395,258,487,0,-1175.854063,25.366562,52.4892204,2.279630363,2.419807433,-1176.061618,-1175.986156,24.28518601,24.28518601,47.35278387
395,280,487,11,-1194.441324,19.660077,44.57902442,2.277452492,2.405638309,-1194.63301,-1194.568147,19.75236954,19.75236954,40.70181775
395,292,483,1,-1887.201842,42.5082305,54.44508142,2.344266815,2.328513097,-1887.41213,-1887.330727,38.99709761,38.99709761,51.08125971
395,292,487,1,-1224.097501,35.1908275,58.53065863,2.044473858,2.493725088,-1224.315225,-1224.234388,32.42604141,32.42604141,50.72634294
395,296,487,0,-1302.684453,34.0096215,58.1882507,2.120101267,2.43531065,-1302.914926,-1302.833105,31.34308315,31.34308315,51.34365751
395,298,487,10,-1118.226431,21.54201225,45.4377017,2.413603599,2.477633624,-1118.401353,-1118.335241,21.84670132,21.84670132,41.48625388
395,302,479,3,-2062.778444,41.90194,55.08101503,2.057685458,2.245000725,-2063.049204,-2062.967836,39.47735613,39.47735613,51.05893403
395,302,483,0,-1887.177947,48.8055695,58.69468712,2.291797315,2.38781507,-1887.395111,-1887.307327,46.11580739,46.11580739,55.08572826
395,304,487,10,-1118.227877,19.6612065,43.56810938,2.38511849,2.445779357,-1118.401251,-1118.336123,21.38262796,21.38262796,40.86808889
