Smiles,Index,Atomid,E_energy_r,G_energy_r,conf_idxs_r,error_reason_r,Avaliable,G_energy_r_qharm
CN1[C]N(C)N=C1,157,2,-320.828742158,-320.744197158,0.0,,2,-320.7825168825462
Fc1cccc(F)c1N1[C]N(c2c(F)cccc2F)C=C1,158,9,-1085.16890631,-1085.01505831,0.0,,1,-1085.1122570490113
[C]1N(Cc2ccccc2)C=CN1Cc1ccccc1,159,0,-766.857375078,-766.614166078,0.0,,1,-766.7471425389375
CN1[C]N(C)C(=O)C1=O,160,2,-454.04498771,-453.96577471,0.0,,0,-454.00882753400305
CN1[C]N(C)C(c2ccccc2)=C1c1ccccc1,161,2,-766.864270874,-766.617954874,0.0,,0,-766.7615995614907
CCN1[C]N(CC)C=C1,162,3,-383.424299332,-383.274728332,0.0,,1,-383.3242385009138
FC(F)(F)N1[C]N(C(F)(F)F)CC1,163,5,-901.488093943,-901.424298943,0.0,,1,-901.4156516186102
CN1[C]N(C)CC1,164,2,-305.999239449,-305.882548449,0.0,,1,-305.91807158976684
CCN1[C]N(CC)CC1,165,3,-384.631241474,-384.460112474,0.0,,1,-384.5074815394678
CC(C)N1[C]N(C(C)C)CC1,166,4,-463.26336006,-463.0388830600001,0.0,,1,-463.09715766003535
Fc1cccc(F)c1N1[C]N(c2c(F)cccc2F)CC1,167,9,-1086.38489321,-1086.20828121,0.0,,1,-1086.3033066795244
Cc1cc(C)c(N2[C]N(c3c(C)cc(C)cc3C)CC2)c(C)c1,168,7,-925.334478204,-924.968544204,1.0,,1,-925.1332842317713
CC(C)c1cccc(C(C)C)c1N1[C]N(c2c(C(C)C)cccc2C(C)C)CC1,169,13,-1161.21149416,-1160.67654716,0.0,,1,-1160.8754384284293
CC1C(C)N(C)[C]N1C,170,6,-384.631933654,-384.459416654,0.0,,1,-384.5074336220009
CC(C)(C)N1[C]N(C(C)(C)C)CC1,171,5,-541.888242716,-541.609615716,0.0,,1,-541.6813025549985
CN1[C]N(C)C(Cl)C1Cl,172,2,-1225.22467585,-1225.12894385,0.0,,0,-1225.1506301212999
CN1[C]N(C)C(F)C1F,173,2,-504.487913396,-504.387700396,0.0,,1,-504.40440513371493
COC1C(OC)N(C)[C]N1C,174,8,-535.040749288,-534.862722288,0.0,,0,-534.9148432749531
CN(C)C1C(N(C)C)N(C)[C]N1C,175,10,-573.933290855,-573.677153855,0.0,,0,-573.7471021797824
CN1[C]N(C)C2OC=COC21,176,2,-532.60815051,-532.47190451,0.0,,1,-532.5275399057033
CN1[C]N(C)C(=O)C1,177,2,-380.037320449,-379.938044449,0.0,,0,-379.9762619633377
CN1[C]c2ccccc2C1(C)C,178,2,-481.672817855,-481.494242855,0.0,,0,-481.57854754547645
Fc1ccc(N2[C]N(c3ccc(F)cc3)CC2)cc1,179,6,-887.924019771,-887.7274797709999,0.0,,0,-887.8387828454522
[C]1N2C=CC=CC2=C2C=CC=CN12,180,0,-533.384344786,-533.2532517860001,0.0,,1,-533.35852127578
[C]1C2=C(CCCC2)N2CCCCN12,181,0,-538.22523073,-538.00261973,0.0,,0,-538.082025796925
[C]1c2ccccc2N2CCCCN12,182,0,-535.798627861,-535.621521861,0.0,,0,-535.7133311160862
CN1[C]N(C)c2nccnc21,183,2,-490.502959635,-490.386222635,0.0,,1,-490.4624655334637
CN1[C]N(C)C2=C1C(=O)C=CC2=O,184,2,-607.639518703,-607.516409703,0.0,,0,-607.600384618608
CN1[C]N(C)c2ncccc21,185,2,-474.46835997,-474.33924097,0.0,,2,-474.4160754959571
CN1[C]N(C)c2ccccc21,186,2,-458.42820409,-458.28732409,0.0,,2,-458.36496759215294
Cc1cc(C)c(N2[C]N(c3c(C)cc(C)cc3C)c3ccccc32)c(C)c1,187,7,-1077.76575426,-1077.37804726,0.0,,1,-1077.5831028217606
CC(C)N1[C]N(C(C)C)c2ccccc21,188,4,-615.689176242,-615.444137242,0.0,,1,-615.5435207627022
CC(C)(C)N1[C]N(C(C)(C)C)c2ccccc21,189,5,-694.312836899,-694.011191899,0.0,,1,-694.125613017515
C=C1C(=C)N(C)[C]N1C,190,6,-382.173891125,-382.046984125,0.0,,0,-382.10569366597394
CN1[C]N(C)c2ccccc2C1=O,191,2,-571.764619443,-571.6146544430001,0.0,,0,-571.705261184899
CN1[C]N(C)c2ccccc2C1,192,2,-497.721384673,-497.553554673,0.0,,1,-497.6382369140498
CN1[C]N(C)C(=O)C(C)(C)C1=O,193,2,-571.999516798,-571.838754798,0.0,,0,-571.9013425274042
CN1[C]N(C)C(=O)NC1=O,194,2,-509.449915134,-509.352343134,0.0,,0,-509.3965652236298
CN1[C]N(C)C(=O)c2ccccc2C1=O,195,2,-685.062917153,-684.9073181529999,0.0,,0,-685.0086809255306
[C]1N(c2ccccc2)CCCN1c1ccccc1,196,0,-728.749626526,-728.505397526,0.0,,0,-728.6409345816649
CN1[C]N(C)CN(C)C1,197,2,-400.646780428,-400.484756428,0.0,,0,-400.53334578967826
CN1[C]N(C)CCC1,198,2,-345.311991824,-345.16413182400004,0.0,,0,-345.2084478457354
