Smiles,Index,Atomid,E_energy_r,G_energy_r,conf_idxs_r,E_energy_p,G_energy_p,conf_idxs_p,deltaE_react,deltaG_react,BDE_G,Experiment
C=CC(C)(C)Cl,585,5,-656.1431028,-656.0458718,1,-195.8870053,-195.7945123,0,460.2560975,460.2513595,54.88962125,0
CC(C)(Cl)c1ccccc1,586,3,-809.7846355,-809.6427685,0,-349.5237462,-349.3869872,0,460.2608893,460.2557813,57.66430075,0
CNC(=O)C(C)(C)Cl,587,7,-786.7671491,-786.6528611,1,-326.5002937,-326.3894897,0,460.2668554,460.2633714,62.4270885,0
CC(=O)CC(C)(C)Cl,588,7,-770.7109309,-770.5850459,0,-310.4342831,-310.3141291,0,460.2766478,460.2709168,67.161827,0
CC(=O)C(C)(C)Cl,589,6,-731.3938681,-731.2949011,0,-271.1346287,-271.0401307,0,460.2592395,460.2547705,57.03002375,0
N#CC(F)(Cl)c1ccccc1,590,4,-922.6007668,-922.5272698,0,-462.3617385,-462.2890415,0,460.2390283,460.2382283,46.64979325,0
O=CC(Cl)Cl,591,3,-1073.033331,-1073.025535,0,-612.7805971,-612.7737881,0,460.2527341,460.2517471,55.13284025,0
ClC1(Cl)OCCO1,592,0,-1187.568237,-1187.526257,0,-727.2989149,-727.2583719,0,460.269322,460.267885,65.2593725,0
FC(F)(F)CC(Cl)Cl,593,6,-1336.097807,-1336.068795,0,-875.8285387,-875.8039587,0,460.2692681,460.2648361,63.34618775,0
ClC(Cl)Cc1ccccc1,594,0,-1230.074741,-1229.971462,0,-769.8003096,-769.7007896,0,460.2744314,460.2706724,67.008466,0
ClC(Cl)(Cl)Cc1ccccc1,595,0,-1689.6696,-1689.578028,0,-1229.410338,-1229.321251,0,460.2592615,460.2567765,58.28878875,0
Fc1cc(F)cc(Cl)c1,596,7,-890.3164129,-890.2740109,0,-430.0180958,-429.9774958,0,460.298317,460.296515,83.2246975,0
