B_smiles,B_Index,B_Atomid,N_smiles,N_Index,N_Atomid,Cl_smiles,Cl_Index,Cl_Atomid,B_N_Cl_conf,Cl_r_conf,deltaG_react,G_energy_qharm,deltaG_react_qharm,B_type,LB_type,Cl_type
CN1BN(C)CC1,436,2,CN1[C]N(C)CCC1,198,2,Fc1c(F)c(F)c(C(Cl)(Cl)Cl)c(F)c1F,621,8,0,0,-13.23052375,-2784.441071933331,-13.56181502708218,R2BH,NHC,CCl3
CN1BN(C)CC1,436,2,CN1[C]N(C)CCC1,198,2,ClC(Cl)(Cl)c1ccccc1,447,0,0,0,-10.18024625,-2288.282690110682,-12.311308747935264,R2BH,NHC,CCl3
CN1BN(C)CC1,436,2,c1ccc(OP(c2ccccc2)c2ccccc2)cc1,137,5,CN1CC(=O)C1Cl,526,6,0,0,-27.66314925,-2150.2484366446706,-26.462074152393185,R2BH,Phosphine,CCl
BOc1ccccc1,425,0,CSP(SC)SC,74,2,CC(C)(N)Cl,577,4,0,0,-10.73119125,-2621.9788946052845,-7.4819150111483745,RBH2,Phosphine,CCl
B1C=CC=C1,401,0,N#CP(C#N)C#N,143,2,O=C1C(Cl)=C(Cl)C(=O)c2ccccc21,479,3,0,0,-4.90209275,-2253.696295786699,-5.457047495333161,R2BH,Phosphine,CCl
BC#N,389,0,FP(F)F,141,1,CN1CC(=O)C1Cl,526,6,0,0,-27.19252425,-1505.3633607655577,-25.5448765909992,RBH2,Phosphine,CCl
CCBCC,433,2,Cc1cnc(C)o1,335,3,CN1CC(=O)C1Cl,526,6,0,0,-38.55554525,-1253.9845240121315,-36.35419141409108,R2BH,Amine/Aryl N,CCl
B1OCCO1,400,0,CN(C)CC#N,67,1,CN1CC(=O)C1Cl,526,6,0,0,-37.52142525,-1266.696031620531,-35.83955007707935,R2BH,Amine/Aryl N,CCl
BN(C)C,395,0,COc1[c-]c(OC)[n+](C)n1C,225,3,CN1CC(=O)C1Cl,526,6,0,0,-24.7228725,-1439.8157131400517,-24.27788083536873,RBH2,NHC,CCl
B1OCCO1,400,0,Cc1[c-][n+](C)c(C)n1C,229,2,CN1CN(C)C(Cl)=C1Cl,488,6,0,0,-29.29615525,-1862.419809167736,-26.33922795732149,R2BH,NHC,CCl
CN1BN(C)CC1,436,2,CN1[C]N(C)CCC1,198,2,N#CC(Cl)Cl,471,3,0,0,-6.609834,-1689.9084008111756,-8.08875402694024,R2BH,NHC,CCl2
B1OCCO1,400,0,CP(C)C,69,1,CN1CC(=O)C1Cl,526,6,0,0,-54.14502975,-1461.0579689049337,-51.35265180914047,R2BH,Phosphine,CCl
CCBCC,433,2,C=CN(C)C,31,2,CN1CC(=O)C1Cl,526,6,0,0,-37.0831165,-1141.7938637500629,-36.52377407752512,R2BH,Amine/Aryl N,CCl
BC(F)(F)F,439,0,N#CP(C#N)C#N,143,2,ClC(Cl)N1CCCC1,539,0,0,0,-22.92276325,-2153.8986090921017,-22.21830891594795,RBH2,Phosphine,CCl2
BC#N,389,0,CN1[C]N(C)C(=O)c2ccccc2C1=O,195,2,CN1CC(=O)C1Cl,526,6,0,0,-15.017079,-1549.469561416298,-12.636351331176256,RBH2,NHC,CCl
CN1BN(C)CC1,436,2,C=CP(c1ccccc1)c1ccccc1,91,2,COC(C)(C)Cl,582,5,0,0,-7.49655425,-1868.4420364949376,-8.529146070582952,R2BH,Phosphine,CCl
CBOC,404,1,CSP(SC)SC,74,2,ClCN1CCCC1,500,0,0,0,-8.75167975,-2546.944863645464,-4.1285669384523525,R2BH,Phosphine,CCl
CN1BN(C)CC1,436,2,CN1C=C[C]N1c1ccccc1,219,4,CN1CC(=O)C1Cl,526,6,0,0,-16.158376,-1535.319114004914,-13.777835559912472,R2BH,NHC,CCl
CCBCC,433,2,Cc1cnc(C)nc1,324,3,CN1CC(=O)C1Cl,526,6,0,0,-25.0348655,-1272.234006779741,-23.930187165015138,R2BH,Amine/Aryl N,CCl
BOc1ccccc1,425,0,CSP(SC)SC,74,2,CC(N)Cl,525,3,0,0,-9.49765175,-2582.6809535750185,-6.14376425172964,RBH2,Phosphine,CCl
CN1BN(C)CC1,436,2,CN1[C]N(C)CCC1,198,2,O=C=NC(Cl)(Cl)Cl,597,4,0,0,-6.2128775,-2224.7518802538343,-7.818766578248962,R2BH,NHC,CCl3
B,388,0,CP(C(C)(C)C)C(C)(C)C,79,1,O=C=NC(=O)C(Cl)(Cl)Cl,445,6,0,0,-50.09175625,-2422.896913412132,-51.42008032001736,BH3,Phosphine,CCl3
BC(F)(F)F,439,0,CC(=O)CN(C)C,27,4,CN1CC(=O)C1Cl,526,6,0,0,-46.44786375,-1436.1995711637744,-44.14396202200043,RBH2,Amine/Aryl N,CCl
CN1BN(C)CC1,436,2,C=CP(c1ccccc1)c1ccccc1,91,2,CC(C)(N)Cl,577,4,0,0,-8.48800425,-1809.2869020631,-8.215264644006227,R2BH,Phosphine,CCl
CBc1ccccc1,408,1,[C]1N(Cc2ccccc2)C=CN1Cc1ccccc1,159,0,ClCN1CCCC1,500,0,0,0,-13.286183,-1774.5406232938635,-10.32467213015634,R2BH,NHC,CCl
BN(C)C,395,0,Cc1[c-][n+](C)c(C)n1C,229,2,CC(C)(N)Cl,577,4,0,0,-21.1709715,-1177.3513723941055,-19.12237739711277,RBH2,NHC,CCl
CN1BN(C)CC1,436,2,CC(C)OP(OC(C)C)OC(C)C,134,4,COC(C)Cl,557,4,0,0,-15.183994,-1869.103450368887,-13.837831084693413,R2BH,Phosphine,CCl
FBF,409,1,CN(C)CCO,4,1,C=CC(=O)C(Cl)(Cl)Cl,544,5,0,0,-63.12518225,-2123.503481218585,-64.49260193453792,R2BH,Amine/Aryl N,CCl3
CBC,403,1,CN(C)Cc1ccccc1,7,1,CS(=O)(=O)OCC(Cl)Cl,538,7,0,1,-44.51466175,-2172.0803171771126,-45.6463380596532,R2BH,Amine/Aryl N,CCl2
BN(C)C,395,0,Cc1[c-][n+](C)c(C)n1C,229,2,COC(C)(C)Cl,582,5,0,0,-20.1795215,-1236.506506825944,-19.436258823689496,RBH2,NHC,CCl
BC(C)(F)F,430,0,CN1[C]N(C)C(=O)C1=O,160,2,CN1CC(=O)C1Cl,526,6,0,0,-16.2902765,-1503.2988916218656,-13.382533826389372,RBH2,NHC,CCl
B,388,0,Fc1cc(F)nc(F)c1,259,5,CC1(Cl)CCCO1,573,2,0,0,-10.44856525,-1303.298148902862,-9.93692093185988,BH3,Amine/Aryl N,CCl
CN1BN(C)CC1,436,2,CN1[C]N(C)CCC1,198,2,ClC(Cl)c1ccco1,541,0,0,0,-6.46896025,-1826.4785958600744,-8.797936653634116,R2BH,NHC,CCl2
COBC#N,441,2,CSP(SC)SC,74,2,CN1CN(C)C(Cl)=C1Cl,488,6,0,0,-21.534043,-3113.6166267737217,-16.931959766794648,R2BH,Phosphine,CCl
