component_key,component_type,spin_metric_label,spin_metric_value,max_abs_spin_density,spin_contamination_before,n_reactions,outlier_fraction,mean_abs_bep_residual,median_abs_bep_residual
BN_00433_00213,BN_radical_complex_r,BN B-atom spin density,0.401808,0.401808,0.0068,1,0.0,6.817181215303485,6.817181215303485
BN_00433_00220,BN_radical_complex_r,BN B-atom spin density,0.24048,0.482744,0.0030999999999999,2,0.0,2.681907122087818,2.681907122087818
BN_00433_00227,BN_radical_complex_r,BN B-atom spin density,0.058678,0.845329,0.0079,1,0.0,8.247117709294411,8.247117709294411
BN_00433_00229,BN_radical_complex_r,BN B-atom spin density,0.567621,0.567621,0.0122999999999999,1,0.0,0.15851577405857142,0.15851577405857142
BN_00433_00237,BN_radical_complex_r,BN B-atom spin density,0.142446,0.510573,0.0361,1,0.0,3.571942922715561,3.571942922715561
BN_00433_00238,BN_radical_complex_r,BN B-atom spin density,0.094079,0.450029,0.0362,1,0.0,1.0195131101674733,1.0195131101674733
BN_00433_00245,BN_radical_complex_r,BN B-atom spin density,0.070263,0.353862,0.0234999999999999,1,0.0,0.21298407186873547,0.21298407186873547
BN_00433_00248,BN_radical_complex_r,BN B-atom spin density,0.138676,0.475619,0.039,1,0.0,3.5626881561616592,3.5626881561616592
BN_00433_00254,BN_radical_complex_r,BN B-atom spin density,0.051942,0.409717,0.0453999999999999,1,0.0,4.762551157878452,4.762551157878452
BN_00433_00255,BN_radical_complex_r,BN B-atom spin density,0.117707,0.548985,0.0288,1,0.0,2.8707418711195327,2.8707418711195327
BN_00433_00256,BN_radical_complex_r,BN B-atom spin density,0.134629,0.405072,0.0561,1,0.0,4.808111321139275,4.808111321139275
BN_00433_00258,BN_radical_complex_r,BN B-atom spin density,0.060877,0.408892,0.0494999999999999,5,0.0,3.1501387042385645,3.506602195834926
BN_00433_00259,BN_radical_complex_r,BN B-atom spin density,0.125259,0.495303,0.0421,1,0.0,2.432953725966218,2.432953725966218
BN_00433_00265,BN_radical_complex_r,BN B-atom spin density,0.106756,0.448201,0.0463,1,0.0,1.5343350644251146,1.5343350644251146
BN_00433_00274,BN_radical_complex_r,BN B-atom spin density,0.074079,0.457113,0.0441,1,0.0,2.283285603315374,2.283285603315374
BN_00433_00279,BN_radical_complex_r,BN B-atom spin density,0.116819,0.440265,0.036,1,0.0,4.491110032639238,4.491110032639238
BN_00433_00285_Naid_00006,BN_radical_complex_r,BN B-atom spin density,0.097045,0.746024,0.0089,1,0.0,0.8285395962760624,0.8285395962760624
BN_00433_00287,BN_radical_complex_r,BN B-atom spin density,0.121738,0.750061,0.0076,2,0.0,2.9465089669334397,2.9465089669334397
BN_00433_00294,BN_radical_complex_r,BN B-atom spin density,0.12676,0.457305,0.0221,2,0.0,6.911924306650483,6.911924306650483
BN_00433_00304,BN_radical_complex_r,BN B-atom spin density,0.110743,0.452343,0.0292,1,0.0,4.638454685084035,4.638454685084035
BN_00433_00305,BN_radical_complex_r,BN B-atom spin density,0.123928,0.410746,0.0289,1,0.0,1.0080618144855684,1.0080618144855684
BN_00433_00307,BN_radical_complex_r,BN B-atom spin density,0.096708,0.525297,0.0426999999999999,1,0.0,2.3511678526520896,2.3511678526520896
