B_Index,N_Index,Cl_Index,Conf_id,TS_G,deltaG(kcal/mol),deltaGa(kcal/mol),B_Cl,C_Cl
397,263,489,0,-2499.753577,1.2799745,27.77552195,2.364751398,2.12381927
397,280,489,10,-2439.380786,4.7314755,32.69424345,2.318250138,2.108497912
397,292,483,0,-1830.631598,32.18943225,49.83232893,2.009293093,2.186976129
397,293,489,0,-2513.588188,1.523821,31.55181695,2.369067417,2.073298123
397,301,489,0,-2552.387428,4.54554725,30.73195682,2.411537559,2.073921926
397,302,489,10,-2469.015366,23.845753,46.1119881,2.117501167,2.22202035
397,304,489,0,-2363.16684,2.890014,30.57786792,2.364290946,2.08964026
397,306,489,20,-2469.025013,25.81704425,46.3545545,2.025193597,2.2583187
398,143,480,12,-2097.583921,19.9975465,25.70334752,2.284283457,2.027579811
398,143,483,0,-2042.208583,2.5106275,29.41233688,2.082134466,1.974944546
398,143,492,1,-1912.786344,25.18540275,30.43346135,2.031801341,2.03669262
398,144,490,10,-1681.488988,11.99886675,35.74808515,2.215126464,2.184800764
398,160,490,0,-1235.255089,19.845566,39.61734427,2.065612441,2.35415365
398,178,490,10,-1262.799361,8.360559,32.24237442,2.239483895,2.197726448
398,193,490,0,-1353.114143,13.59271675,38.54184692,2.148697888,2.222850017
398,195,490,10,-1466.181223,20.1747525,45.2935022,2.165139448,2.224093664
398,254,490,0,-1213.900234,19.348837,45.6540386,2.013440861,2.260851276
398,263,490,10,-1260.652192,8.543789,34.98798813,2.246102988,2.17092852
398,273,490,0,-1213.91526,12.930014,40.8767556,2.124847074,2.190675299
398,280,490,0,-1200.281944,11.1387525,38.92551298,2.165426639,2.182726673
398,291,490,0,-1442.47154,16.33376225,44.61499273,2.064524836,2.218458767
398,293,490,0,-1274.490729,7.77177575,36.56007015,2.268506894,2.155858128
398,298,490,10,-1124.07075,11.83759925,37.42504752,2.222917421,2.194994405
398,304,490,0,-1124.070987,8.46428475,34.6887522,2.222823469,2.180313344
398,324,490,10,-1124.099851,3.9204945,32.28838272,2.270554144,2.143547628
398,377,483,10,-1860.155467,38.7329395,54.44993828,2.018153019,2.221887334
399,160,454,12,-2168.626001,-3.99560625,25.53923745,2.633439604,2.320586597
399,160,456,1,-2793.631087,7.78507875,27.45738572,2.577656195,2.421328808
399,184,492,10,-1974.620394,56.333436,65.30140245,2.688685835,2.335152405
399,195,483,0,-2181.453268,39.89764225,49.5031738,2.396113437,2.213817197
399,292,483,10,-1945.2045,42.670502,57.97838332,2.084027944,2.222969366
399,296,483,1,-2023.793482,37.7253,51.44318418,2.169987515,2.156617747
399,306,479,10,-2120.796126,43.33860125,55.03673235,2.059241269,2.354992386
399,306,485,0,-1967.196736,44.10452775,54.63483115,2.024410526,2.416810197
399,313,483,10,-1914.361523,32.713583,43.72813442,2.274968456,2.156326482
399,366,483,0,-2327.580993,42.86759975,54.6098943,2.274058428,2.21254236
399,367,483,3,-2067.934001,42.3169685,51.95912095,2.386366937,2.306345766
399,377,479,13,-2109.831246,43.08471475,56.89990535,2.076219835,2.318979817
